Wall time,Step,Before,After
1644412104,3,0.231187254,0.232518613
1644412110,3,0.188812211,0.275880814
1644412110,3,0.192310899,0.212837487
1644412110,3,0.17227383,0.213325605
1644412117,3,0.190763518,0.219892323
1644412120,3,0.235593408,0.22445333
1644412120,3,0.174927324,0.19503437
1644412120,3,0.203525767,0.295767307
1644412121,3,0.260153145,0.224744782
1644412122,3,0.179532975,0.217284799
1644412122,3,0.221582726,0.307516783
1644412123,3,0.216344312,0.264679343
1644412123,3,0.188961968,0.251197785
1644412124,3,0.246315435,0.254844099
1644412126,3,0.157364458,0.263987035
1644412132,3,0.229289666,0.207985759
1644412133,3,0.264018059,0.26439783
1644412134,3,0.239171937,0.262628436
1644412138,3,0.242445722,0.215621889
1644412138,3,0.286959499,0.251479328
1644412139,3,0.22176367,0.21787934
1644412139,3,0.223597914,0.223579854
1644412144,3,0.268022805,0.260318458
1644412145,3,0.199658826,0.199163601
1644412146,3,0.190039784,0.214881122
1644412147,3,0.239282221,0.184017628
1644412151,3,0.287233084,0.315091759
1644412153,3,0.174067944,0.214020893
1644412155,3,0.204286188,0.209536493
1644412156,3,0.247316927,0.261018574
1644412157,3,0.194173202,0.213948295
1644412158,3,0.194783181,0.207768291
1644412160,3,0.22228384,0.20847398
1644412160,3,0.179774731,0.299457282
1644412162,3,0.230120331,0.253836811
1644412162,3,0.255643785,0.199735731
1644412165,3,0.237845063,0.258159965
1644412166,3,0.245404929,0.295930505
1644412166,3,0.262053251,0.216805249
1644412167,3,0.20928517,0.262617588
1644412168,3,0.215465575,0.215189859
1644412168,3,0.267954648,0.229941294
1644412170,3,0.265200883,0.256384224
1644412174,3,0.171912193,0.21520707
1644412175,3,0.260753334,0.222914919
1644412176,3,0.278320074,0.255557537
1644412177,3,0.278725326,0.25927633
1644412179,3,0.205631375,0.224973693
1644412181,3,0.293279171,0.233765885
1644412181,3,0.266903758,0.27635023
1644412182,3,0.186251253,0.261890709
1644412182,3,0.291336626,0.282408416
1644412186,3,0.274940401,0.292754918
1644412187,3,0.220723078,0.219811082
1644412187,3,0.302053988,0.258960605
1644412187,3,0.229695693,0.345426202
1644412188,3,0.208372489,0.230137378
1644412189,3,0.205228433,0.217034757
1644412192,3,0.206317708,0.230477244
1644412193,3,0.181796774,0.228422865
1644412221,4,0.28393656,0.228293002
1644412222,4,0.17449455,0.239176646
1644412223,4,0.248894587,0.207052276
1644412223,4,0.232434884,0.247156382
1644412223,4,0.146672487,0.205453515
1644412227,4,0.257140249,0.181555748
1644412228,4,0.229794025,0.152043298
1644412229,4,0.185639232,0.217607424
1644412230,4,0.221824542,0.213191956
1644412230,4,0.193632632,0.155717045
1644412234,4,0.192452669,0.178864777
1644412234,4,0.227154538,0.262036949
1644412234,4,0.23577106,0.212490186
1644412235,4,0.185530573,0.226352468
1644412236,4,0.255226552,0.218223602
1644412241,4,0.191246599,0.229612589
1644412242,4,0.225025877,0.18096289
1644412243,4,0.232462108,0.179018259
1644412245,4,0.251327395,0.164623663
1644412249,4,0.204076812,0.200731009
1644412250,4,0.212675184,0.240282804
1644412252,4,0.220262796,0.240005389
1644412252,4,0.254010588,0.263652414
1644412255,4,0.187724188,0.228666306
1644412256,4,0.253111303,0.251049578
1644412258,4,0.292035967,0.151876569
1644412260,4,0.221070722,0.289632559
1644412261,4,0.240990072,0.202637315
1644412263,4,0.146235898,0.216993853
1644412265,4,0.197999701,0.210828021
1644412268,4,0.20475553,0.293548614
1644412269,4,0.228928506,0.244768843
1644412271,4,0.282658041,0.210950091
1644412273,4,0.17255944,0.206688806
1644412274,4,0.233122543,0.245667949
1644412276,4,0.153118744,0.249671564
1644412277,4,0.230573669,0.209901154
1644412280,4,0.239674211,0.228010759
1644412282,4,0.223381013,0.243026495
1644412285,4,0.259570062,0.270748079
1644412287,4,0.177465379,0.218857065
1644412288,4,0.260195285,0.196803704
1644412290,4,0.250519782,0.207861781
1644412297,4,0.227650315,0.213967323
1644412297,4,0.236422002,0.249809787
1644412298,4,0.232871845,0.24044244
1644412298,4,0.246028274,0.203232318
1644412300,4,0.225337833,0.148779005
1644412304,4,0.255607307,0.165562451
1644412304,4,0.26352796,0.196625963
1644412306,4,0.280118108,0.207647994
1644412308,4,0.230029404,0.23998192
1644412309,4,0.194008127,0.183432877
1644412310,4,0.206408128,0.199556604
1644412314,4,0.202912077,0.205909327
1644412315,4,0.244407505,0.245923385
1644412316,4,0.185487956,0.189036623
1644412318,4,0.241146401,0.26833114
1644412318,4,0.190963671,0.263859957
1644412322,4,0.297415435,0.217210889
1644412323,4,0.224619642,0.265232265
1644412323,4,0.2237681,0.278752506
1644412324,4,0.209495217,0.245361894
1644412326,4,0.263897091,0.254946232
1644412326,4,0.209635824,0.256415546
1644412326,4,0.192026347,0.21479857
1644412326,4,0.149048537,0.284407109
1644412327,4,0.24075523,0.2288398
1644412329,4,0.230852187,0.200621143
1644412329,4,0.215759367,0.218551278
1644412330,4,0.210381523,0.195332319
1644412330,4,0.17416133,0.251742125
1644412331,4,0.241228968,0.261327446
1644412332,4,0.228655085,0.261550069
